"pathogen","country","location","dateStart","dateEnd","count","countCumu","source"
"Dengue","Colombia","Sucre",2007-02-18,2007-02-24,15,15,"C-NIH"
"Dengue","Colombia","Tolima",2007-02-18,2007-02-24,32,32,"C-NIH"
"Dengue","Colombia","Valle",2007-02-18,2007-02-24,7,7,"C-NIH"
"Dengue","Colombia","Vaupes",2007-02-18,2007-02-24,0,0,"C-NIH"
"Dengue","Colombia","Vichada",2007-02-18,2007-02-24,0,0,"C-NIH"
"Dengue","Colombia","Amazonas",2007-02-25,2007-03-03,2,2,"C-NIH"
"Dengue","Colombia","Antioquia",2007-02-25,2007-03-03,0,0,"C-NIH"
"Dengue","Colombia","Arauca",2007-02-25,2007-03-03,22,22,"C-NIH"
"Dengue","Colombia","Atlantico",2007-02-25,2007-03-03,45,45,"C-NIH"
"Dengue","Colombia","Bogota",2007-02-25,2007-03-03,0,0,"C-NIH"
"Dengue","Colombia","Bolivar",2007-02-25,2007-03-03,4,4,"C-NIH"
"Dengue","Colombia","Boyaca",2007-02-25,2007-03-03,3,3,"C-NIH"
"Dengue","Colombia","Caldas",2007-02-25,2007-03-03,33,33,"C-NIH"
"Dengue","Colombia","Caqueta",2007-02-25,2007-03-03,13,13,"C-NIH"
"Dengue","Colombia","Casanare",2007-02-25,2007-03-03,23,23,"C-NIH"
"Dengue","Colombia","Cauca",2007-02-25,2007-03-03,21,21,"C-NIH"
"Dengue","Colombia","Cesar",2007-02-25,2007-03-03,33,33,"C-NIH"
"Dengue","Colombia","Choco",2007-02-25,2007-03-03,0,0,"C-NIH"
"Dengue","Colombia","Cordoba",2007-02-25,2007-03-03,7,7,"C-NIH"
"Dengue","Colombia","Cundinamarca",2007-02-25,2007-03-03,4,4,"C-NIH"
"Dengue","Colombia","Guainia",2007-02-25,2007-03-03,0,0,"C-NIH"
"Dengue","Colombia","Guajira",2007-02-25,2007-03-03,6,6,"C-NIH"
"Dengue","Colombia","Guaviare",2007-02-25,2007-03-03,5,5,"C-NIH"
"Dengue","Colombia","Huila",2007-02-25,2007-03-03,76,76,"C-NIH"
"Dengue","Colombia","Magdalena",2007-02-25,2007-03-03,5,5,"C-NIH"
"Dengue","Colombia","Meta",2007-02-25,2007-03-03,50,50,"C-NIH"
"Dengue","Colombia","Narino",2007-02-25,2007-03-03,0,0,"C-NIH"
"Dengue","Colombia","Norte_Santander",2007-02-25,2007-03-03,102,102,"C-NIH"
"Dengue","Colombia","Putumayo",2007-02-25,2007-03-03,14,14,"C-NIH"
"Dengue","Colombia","Quindio",2007-02-25,2007-03-03,106,106,"C-NIH"
"Dengue","Colombia","Risaralda",2007-02-25,2007-03-03,21,21,"C-NIH"
"Dengue","Colombia","San_Andres",2007-02-25,2007-03-03,0,0,"C-NIH"
"Dengue","Colombia","Santander",2007-02-25,2007-03-03,91,91,"C-NIH"
"Dengue","Colombia","Sucre",2007-02-25,2007-03-03,12,12,"C-NIH"
"Dengue","Colombia","Tolima",2007-02-25,2007-03-03,36,36,"C-NIH"
"Dengue","Colombia","Valle",2007-02-25,2007-03-03,10,10,"C-NIH"
"Dengue","Colombia","Vaupes",2007-02-25,2007-03-03,0,0,"C-NIH"
"Dengue","Colombia","Vichada",2007-02-25,2007-03-03,2,2,"C-NIH"
"Dengue","Colombia","Amazonas",2007-03-04,2007-03-10,1,1,"C-NIH"
"Dengue","Colombia","Antioquia",2007-03-04,2007-03-10,2,2,"C-NIH"
"Dengue","Colombia","Arauca",2007-03-04,2007-03-10,18,18,"C-NIH"
"Dengue","Colombia","Atlantico",2007-03-04,2007-03-10,40,40,"C-NIH"
"Dengue","Colombia","Bogota",2007-03-04,2007-03-10,0,0,"C-NIH"
"Dengue","Colombia","Bolivar",2007-03-04,2007-03-10,10,10,"C-NIH"
"Dengue","Colombia","Boyaca",2007-03-04,2007-03-10,2,2,"C-NIH"
"Dengue","Colombia","Caldas",2007-03-04,2007-03-10,33,33,"C-NIH"
"Dengue","Colombia","Caqueta",2007-03-04,2007-03-10,14,14,"C-NIH"
"Dengue","Colombia","Casanare",2007-03-04,2007-03-10,25,25,"C-NIH"
"Dengue","Colombia","Cauca",2007-03-04,2007-03-10,18,18,"C-NIH"
"Dengue","Colombia","Cesar",2007-03-04,2007-03-10,32,32,"C-NIH"
"Dengue","Colombia","Choco",2007-03-04,2007-03-10,1,1,"C-NIH"
"Dengue","Colombia","Cordoba",2007-03-04,2007-03-10,13,13,"C-NIH"
"Dengue","Colombia","Cundinamarca",2007-03-04,2007-03-10,2,2,"C-NIH"
"Dengue","Colombia","Guainia",2007-03-04,2007-03-10,0,0,"C-NIH"
"Dengue","Colombia","Guajira",2007-03-04,2007-03-10,17,17,"C-NIH"
"Dengue","Colombia","Guaviare",2007-03-04,2007-03-10,4,4,"C-NIH"
"Dengue","Colombia","Huila",2007-03-04,2007-03-10,80,80,"C-NIH"
"Dengue","Colombia","Magdalena",2007-03-04,2007-03-10,8,8,"C-NIH"
"Dengue","Colombia","Meta",2007-03-04,2007-03-10,35,35,"C-NIH"
"Dengue","Colombia","Narino",2007-03-04,2007-03-10,1,1,"C-NIH"
"Dengue","Colombia","Norte_Santander",2007-03-04,2007-03-10,77,77,"C-NIH"
"Dengue","Colombia","Putumayo",2007-03-04,2007-03-10,22,22,"C-NIH"
"Dengue","Colombia","Quindio",2007-03-04,2007-03-10,112,112,"C-NIH"
"Dengue","Colombia","Risaralda",2007-03-04,2007-03-10,19,19,"C-NIH"
