Dengue cases,AC,AL,AP,AM,BA,CE,DF,ES,GO,MA,MS,MT,MG,PA,PB,PR,PE,PI,RJ,RN,RS,RO,RR,SC,SE,SP,TO
May1998,0,2075,0,2910,2454,2199,573,604,919,1096,574,768,15886,251,12188,408,11136,2155,2950,1522,12,0,66,26,2531,5653,223
Jun1998,0,1964,0,1912,722,3250,418,117,287,417,345,443,1875,97,6251,174,6531,569,528,357,10,14,18,12,1377,3031,35
Jul1998,0,475,0,1327,345,1756,81,64,191,315,101,155,129,105,2452,40,3964,103,154,600,5,0,18,6,1380,567,19
Aug1998,0,655,0,360,456,1391,83,19,137,215,108,135,173,27,1107,49,1323,45,85,858,3,0,17,2,601,977,21
Sep1998,0,161,0,130,345,158,39,57,124,241,69,89,437,12,317,21,1021,18,55,472,4,6,12,2,408,474,7
Oct1998,0,166,0,39,313,16,22,134,146,347,68,147,573,14,244,49,792,21,57,312,2,0,9,7,634,663,40
Nov1998,0,143,0,207,390,11,28,68,186,263,56,310,529,0,359,96,691,93,122,473,1,0,8,5,462,1118,60
Dec1998,0,104,0,873,92,73,44,38,224,463,9,336,480,0,364,74,279,109,5329,610,1,0,16,2,170,811,49
Jan1999,0,115,1,276,717,614,51,63,293,567,1720,456,1801,354,1015,99,1349,253,667,2127,7,196,65,9,1273,1883,142
Feb1999,0,73,1,251,855,1217,70,36,210,448,2338,388,3035,381,1387,103,1937,523,835,3533,7,221,98,4,1162,4442,39
Mar1999,0,123,1,683,1578,1761,81,37,272,615,2085,357,3510,230,2509,109,3878,391,1770,2737,7,242,100,5,1514,10405,110
Apr1999,0,88,0,1140,1301,1607,138,101,340,621,1042,291,3901,186,2294,237,6057,227,2437,3765,3,18,219,4,2110,13865,152
May1999,0,261,0,880,1809,2569,158,167,470,792,395,334,2598,288,2583,374,6908,330,1459,3388,5,175,500,4,2122,5681,357
Jun1999,0,169,1,564,534,2730,47,48,290,365,81,220,535,152,502,92,5468,191,319,1458,2,45,1352,1,708,1107,283
Jul1999,0,84,0,504,250,2163,27,27,102,214,68,184,135,66,721,65,2973,73,137,979,4,18,566,3,460,650,170
Aug1999,1,54,1,272,203,1741,46,31,121,349,71,82,79,132,779,83,1877,101,113,701,6,28,570,3,583,706,143
Sep1999,1,56,0,285,81,427,29,18,83,109,71,36,46,146,413,42,1645,36,96,163,9,4,154,7,303,501,67
Oct1999,1,61,0,179,189,365,14,20,141,93,107,20,63,297,546,51,1096,51,83,180,4,12,147,1,321,567,136
Nov1999,0,36,0,206,103,452,13,9,124,161,126,102,95,136,409,47,897,36,63,305,3,14,165,2,475,477,271
Dec1999,0,47,0,308,272,643,22,77,104,357,103,192,514,245,351,51,1014,40,1104,231,0,6,42,2,768,402,122
Jan2000,22,50,5,920,1964,1274,194,1037,428,872,1105,1711,3896,1439,984,148,2241,414,289,657,9,37,367,7,1914,1278,427
Feb2000,24,120,20,1386,1693,1920,196,2613,336,785,856,1780,9343,1970,1943,489,3517,476,318,2050,7,25,697,6,1732,1098,417
Mar2000,38,398,6,1129,2273,2743,206,5514,459,846,1446,1261,6834,1122,4127,1682,5879,470,612,3585,7,23,1042,4,1354,2215,379
Apr2000,45,426,6,473,1803,2375,138,4905,390,270,1870,1048,4302,599,5785,1482,5511,564,923,3880,7,32,807,7,1037,4005,257
May2000,93,263,5,434,1042,4740,75,3375,212,336,803,503,1317,451,5509,410,5765,1325,1003,2015,1,35,735,4,1195,2782,183
Jun2000,223,83,1,211,440,2636,65,1009,108,319,313,140,310,309,2118,161,1888,1476,392,1291,0,13,559,3,429,1154,135
Jul2000,333,42,0,122,270,1552,52,387,49,202,101,40,91,262,1019,40,1038,875,199,1389,1,30,861,4,360,410,64
Aug2000,264,32,1,155,148,1366,38,177,54,259,96,12,42,357,363,62,802,676,150,820,2,27,817,1,288,407,84
Sep2000,170,17,1,107,88,743,21,88,82,119,59,9,42,247,458,52,242,385,102,511,2,74,377,4,121,421,68
Oct2000,199,9,0,161,233,520,31,96,153,118,57,9,35,283,276,46,339,338,95,347,0,894,172,1,76,525,160
Nov2000,316,15,5,328,535,714,12,102,178,156,82,82,18,610,168,67,517,274,96,389,4,1729,362,0,111,499,462
Dec2000,589,12,0,985,410,321,2,180,148,57,45,142,131,569,54,37,210,63,102,187,3,716,499,0,59,651,287
Jan2001,1294,163,7,7033,591,1847,400,886,820,1037,273,130,2625,2462,46,50,917,445,3376,2036,13,681,808,1,246,1550,1109
Feb2001,243,190,17,6607,745,3415,218,1198,1660,978,534,123,4638,3818,290,263,1131,957,6774,3891,5,286,368,2,231,3370,701
Mar2001,116,726,95,2986,1307,4937,209,1349,2476,1277,1426,149,8054,4034,707,544,1313,1366,10424,6039,4,174,137,5,374,10409,584
Apr2001,79,306,177,1179,1483,4644,189,1382,1842,791,3166,186,8511,2424,3002,313,2159,1872,18187,5123,7,80,88,3,509,21228,415
May2001,36,129,589,734,1119,6319,172,1087,1095,808,2410,193,4779,1106,4725,128,2391,1932,15555,6736,4,109,116,5,799,19302,407
Jun2001,32,85,457,326,390,4875,93,646,527,420,238,80,1226,427,2164,19,1541,1557,6897,4812,6,51,103,6,534,6187,198
Jul2001,7,80,466,126,213,2580,76,433,287,239,56,47,450,208,1386,12,1249,782,2355,3849,4,26,160,1,319,1115,74
Aug2001,8,83,760,55,183,1624,32,175,154,165,42,60,167,148,1032,11,863,599,852,2280,6,20,257,2,208,396,63
Sep2001,8,80,490,51,125,1203,21,104,232,97,41,55,199,251,656,8,516,273,486,1110,1,11,376,3,106,257,37
Oct2001,22,68,275,31,19,1616,32,102,374,126,95,250,226,438,435,10,532,234,720,898,2,33,637,2,122,249,101
Nov2001,175,50,109,44,3,1215,40,143,943,127,322,542,754,762,433,19,694,202,922,661,2,103,465,8,101,231,585
Dec2001,199,32,13,324,44,739,55,139,932,213,733,360,1169,558,195,16,494,185,2554,488,10,122,442,81,45,393,594
Jan2002,80,278,33,133,5156,1685,639,1774,4160,764,4414,2401,4948,2088,907,208,9373,923,50163,1812,82,210,342,125,260,3046,714
Feb2002,153,1059,192,546,17870,3728,1025,6520,8684,1885,4185,2239,8498,2537,2345,579,34216,1354,83705,3194,207,285,217,70,520,9052,452
Mar2002,303,2159,155,450,27439,3858,889,8807,5721,1791,2322,1447,54,2692,4688,1739,34983,1480,91164,5618,89,239,96,41,963,8001,211
Apr2002,66,1495,74,253,15059,2335,313,3600,1761,856,836,559,1083,1165,3908,2680,13750,1433,24578,3873,24,85,81,14,952,8426,135
May2002,35,894,33,122,5066,1633,109,1672,657,598,256,302,3884,519,2596,1402,4555,1105,5153,2000,16,65,68,5,613,8320,71
Jun2002,25,508,36,95,1674,1345,27,840,182,329,77,168,714,250,1172,236,1481,645,1339,1207,6,24,49,6,580,2441,35
Jul2002,19,372,53,95,993,1199,30,425,150,292,27,76,172,186,973,74,943,462,533,1157,6,23,62,3,450,458,15
Aug2002,11,218,112,131,841,1057,29,296,273,346,42,51,115,199,632,82,553,368,330,949,9,12,41,,298,240,11
Sep2002,14,146,90,73,929,611,6,228,283,229,22,68,80,291,293,37,408,275,224,705,6,34,39,4,216,133,14
Oct2002,20,103,31,62,841,749,19,242,149,430,13,226,94,344,287,54,479,256,397,716,1,64,107,4,182,125,66
Oct2002,92,131,29,166,841,897,38,425,383,486,45,491,394,518,585,96,508,356,1279,649,5,308,85,3,218,320,146
Dec2002,100,144,19,89,1018,682,82,606,494,405,149,951,779,690,484,95,525,192,2447,581,8,227,80,9,133,764,245
Jan2003,231,157,58,353,3280,2261,186,2865,1198,1290,188,2473,1310,1897,1091,734,731,477,1274,1040,9,719,129,17,419,5093,270
Feb2003,242,271,105,504,6716,4873,188,10204,1915,1409,402,3218,2751,2088,1476,2163,1718,823,1654,1994,14,637,109,14,622,5374,236
Mar2003,152,343,113,831,12413,5707,151,10018,1692,1210,625,1256,5092,1446,2476,5485,3729,1852,1464,3471,9,472,37,12,884,9185,203
Apr2003,97,606,99,724,10094,6069,118,3235,1399,609,518,389,3105,706,2763,2197,3715,2089,619,4303,7,228,9,2,949,4697,300
