"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Dengue","Brazil","Para","state",2002-01-01,2002-10-31,342,10266,"total=342","total=10266","TabnetTotal",""
"Dengue","Brazil","Para","state",2002-01-01,2002-11-30,508,10774,"total=508","total=10774","TabnetTotal",""
"Dengue","Brazil","Para","state",2002-01-01,2002-12-31,681,11455,"total=681","total=11455","TabnetTotal",""
"Dengue","Brazil","Paraiba","state",2002-01-01,2002-01-31,893,893,"total=893","total=893","TabnetTotal",""
"Dengue","Brazil","Paraiba","state",2002-01-01,2002-02-28,2328,3221,"total=2328","total=3221","TabnetTotal",""
"Dengue","Brazil","Paraiba","state",2002-01-01,2002-03-31,4685,7906,"total=4685","total=7906","TabnetTotal",""
"Dengue","Brazil","Paraiba","state",2002-01-01,2002-04-30,3882,11788,"total=3882","total=11788","TabnetTotal",""
"Dengue","Brazil","Paraiba","state",2002-01-01,2002-05-31,2561,14349,"total=2561","total=14349","TabnetTotal",""
"Dengue","Brazil","Paraiba","state",2002-01-01,2002-06-30,1156,15505,"total=1156","total=15505","TabnetTotal",""
"Dengue","Brazil","Paraiba","state",2002-01-01,2002-07-31,950,16455,"total=950","total=16455","TabnetTotal",""
"Dengue","Brazil","Paraiba","state",2002-01-01,2002-08-31,631,17086,"total=631","total=17086","TabnetTotal",""
"Dengue","Brazil","Paraiba","state",2002-01-01,2002-09-30,293,17379,"total=293","total=17379","TabnetTotal",""
"Dengue","Brazil","Paraiba","state",2002-01-01,2002-10-31,286,17665,"total=286","total=17665","TabnetTotal",""
"Dengue","Brazil","Paraiba","state",2002-01-01,2002-11-30,581,18246,"total=581","total=18246","TabnetTotal",""
"Dengue","Brazil","Paraiba","state",2002-01-01,2002-12-31,481,18727,"total=481","total=18727","TabnetTotal",""
"Dengue","Brazil","Parana","state",2002-01-01,2002-01-31,211,211,"total=211","total=211","TabnetTotal",""
"Dengue","Brazil","Parana","state",2002-01-01,2002-02-28,587,798,"total=587","total=798","TabnetTotal",""
"Dengue","Brazil","Parana","state",2002-01-01,2002-03-31,1740,2538,"total=1740","total=2538","TabnetTotal",""
"Dengue","Brazil","Parana","state",2002-01-01,2002-04-30,2671,5209,"total=2671","total=5209","TabnetTotal",""
"Dengue","Brazil","Parana","state",2002-01-01,2002-05-31,1389,6598,"total=1389","total=6598","TabnetTotal",""
"Dengue","Brazil","Parana","state",2002-01-01,2002-06-30,222,6820,"total=222","total=6820","TabnetTotal",""
"Dengue","Brazil","Parana","state",2002-01-01,2002-07-31,53,6873,"total=53","total=6873","TabnetTotal",""
"Dengue","Brazil","Parana","state",2002-01-01,2002-08-31,78,6951,"total=78","total=6951","TabnetTotal",""
"Dengue","Brazil","Parana","state",2002-01-01,2002-09-30,37,6988,"total=37","total=6988","TabnetTotal",""
